Bookmark,Frame#,Type,Opcode,Opcode Command,Event,Name,LMP Version,Manufacturer Name,HCI Version,LMP Subversion,Status,Handle,Credits,PBF,Length,Frame Size,Delta,Timestamp,
,1325,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001159",="6/19/2014 2:59:25.654761 PM",
,1326,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.001099",="6/19/2014 2:59:25.655860 PM",
,1327,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.014308",="6/19/2014 2:59:25.670168 PM",
,1328,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001231",="6/19/2014 2:59:25.671399 PM",
,1329,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001232",="6/19/2014 2:59:25.672631 PM",
,1330,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001112",="6/19/2014 2:59:25.673743 PM",
,1331,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,26,31,=" 00:00:00.001148",="6/19/2014 2:59:25.674891 PM",
,1332,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001096",="6/19/2014 2:59:25.675987 PM",
,1333,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001098",="6/19/2014 2:59:25.677085 PM",
,1334,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.016424",="6/19/2014 2:59:25.693509 PM",
,1335,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.001850",="6/19/2014 2:59:25.695359 PM",
,1336,ACL Data,,,,,,,,,,0x000d,,Cont.,17,22,=" 00:00:00.002053",="6/19/2014 2:59:25.697412 PM",
,1337,ACL Data,,,,,,,,,,0x000d,,Cont.,1,6,=" 00:00:00.001511",="6/19/2014 2:59:25.698923 PM",
,1338,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001306",="6/19/2014 2:59:25.700229 PM",
,1339,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002388",="6/19/2014 2:59:25.702617 PM",
,1340,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 6,First,26,31,=" 00:00:00.001797",="6/19/2014 2:59:25.704414 PM",
,1341,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011080",="6/19/2014 2:59:25.715494 PM",
,1342,Event,,,Number Of Completed Packets,,,,,,,0x000d,Available Host's ACL credits: 8,,5,8,=" 00:00:00.001844",="6/19/2014 2:59:25.717338 PM",
,1343,ACL Data,,,,,,,,,,0x000d,,First,17,22,=" 00:00:00.009242",="6/19/2014 2:59:25.726580 PM",
,1344,ACL Data,,,,,,,,,,0x000d,,Cont.,7,12,=" 00:00:00.001353",="6/19/2014 2:59:25.727933 PM",
,1345,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.001382",="6/19/2014 2:59:25.729315 PM",
,1346,Command,0x0804,Exit_Sniff_Mode,,,,,,,,0x000d,,,2,6,=" 00:00:00.001690",="6/19/2014 2:59:25.731005 PM",
,1347,ACL Data,,,,,,,,,,0x000d,Available Host's ACL credits: 7,First,12,17,=" 00:00:00.001296",="6/19/2014 2:59:25.732301 PM",
,1348,Event,0x0804,Exit_Sniff_Mode,Command Status,,,,,,Success,,,,4,7,=" 00:00:00.001178",="6/19/2014 2:59:25.733479 PM",
,1349,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.004272",="6/19/2014 2:59:25.737751 PM",
,1350,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.006361",="6/19/2014 2:59:25.744112 PM",
,1351,Event,,,Mode Change,,,,,,Success,0x000d,,,6,9,=" 00:00:00.001534",="6/19/2014 2:59:25.745646 PM",
,1352,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.002189",="6/19/2014 2:59:25.747835 PM",
,1353,Event,,,Mode Change,,,,,,Success,0x000d,,,6,9,=" 00:00:00.005228",="6/19/2014 2:59:25.753063 PM",
,1354,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.007378",="6/19/2014 2:59:25.760441 PM",
,1355,Event,,,HCI Sniff Subrating,,,,,,,0x000d,,,11,14,=" 00:00:00.002830",="6/19/2014 2:59:25.763271 PM",
,1356,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.008649",="6/19/2014 2:59:25.771920 PM",
,1357,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.012259",="6/19/2014 2:59:25.784179 PM",
,1358,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.009999",="6/19/2014 2:59:25.794178 PM",
,1359,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011093",="6/19/2014 2:59:25.805271 PM",
,1360,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011197",="6/19/2014 2:59:25.816468 PM",
,1361,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011138",="6/19/2014 2:59:25.827606 PM",
,1362,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011450",="6/19/2014 2:59:25.839056 PM",
,1363,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011167",="6/19/2014 2:59:25.850223 PM",
,1364,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011155",="6/19/2014 2:59:25.861378 PM",
,1365,ACL Data,,,,,,,,,,0x000d,,First,12,17,=" 00:00:00.011317",="6/19/2014 2:59:25.872695 PM",
,1366,Command,0x2008,HCI_LE_Set_Advertising_Data,,,,,,,,,,,32,36,=" 00:00:00.004086",="6/19/2014 2:59:25.876781 PM",
,1367,Event,0x2008,HCI_LE_Set_Advertising_Data,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001025",="6/19/2014 2:59:25.877806 PM",
,1368,Command,0x0c1a,Write_Scan_Enable,,,,,,,,,,,1,5,=" 00:00:00.001022",="6/19/2014 2:59:25.878828 PM",
,1369,Event,0x0c1a,Write_Scan_Enable,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001158",="6/19/2014 2:59:25.879986 PM",
,1370,Command,0x2008,HCI_LE_Set_Advertising_Data,,,,,,,,,,,32,36,=" 00:00:00.001105",="6/19/2014 2:59:25.881091 PM",
,1371,Event,0x2008,HCI_LE_Set_Advertising_Data,Command Complete,,,,,,Success,,,,4,7,=" 00:00:00.001212",="6/19/2014 2:59:25.882303 PM",
