Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,39534,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,90,=" 00:00:00.020627",="6/25/2014 11:18:52.057378 AM",
,41524,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:02:07.492380",="6/25/2014 11:20:59.549758 AM",
,41525,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.021877",="6/25/2014 11:20:59.571635 AM",
,41526,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.005623",="6/25/2014 11:20:59.577258 AM",
,41527,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.006877",="6/25/2014 11:20:59.584135 AM",
,41534,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.143751",="6/25/2014 11:20:59.727886 AM",
,41535,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:00.021873",="6/25/2014 11:20:59.749759 AM",
,41538,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.029377",="6/25/2014 11:20:59.779136 AM",
,41540,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.019373",="6/25/2014 11:20:59.798509 AM",
,41542,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.005627",="6/25/2014 11:20:59.804136 AM",
,42030,CT,1,STATUS,,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,66,=" 00:00:09.689412",="6/25/2014 11:21:09.493548 AM",
,42031,TG,1,,IMPLEMENTED/STABLE,,VENDOR-DEPENDENT,,,Get Element Attribute,Non-Fragmented,,180,=" 00:00:00.011877",="6/25/2014 11:21:09.505425 AM",
,45320,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:01:04.667136",="6/25/2014 11:22:14.172561 AM",
,45321,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.011877",="6/25/2014 11:22:14.184438 AM",
,45323,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.008123",="6/25/2014 11:22:14.192561 AM",
,45324,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.001877",="6/25/2014 11:22:14.194438 AM",
,45366,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.780003",="6/25/2014 11:22:14.974441 AM",
,45367,TG,1,,CHANGED,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,38,=" 00:00:00.002500",="6/25/2014 11:22:14.976941 AM",
,45370,CT,1,NOTIFY,,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,34,=" 00:00:00.035624",="6/25/2014 11:22:15.012565 AM",
,45372,TG,1,,INTERIM,,VENDOR-DEPENDENT,,,Register Notification,Non-Fragmented,,31,=" 00:00:00.015627",="6/25/2014 11:22:15.028192 AM",
